secs,x,y,rear_x,rear_y,reverse,heading,adj,esc,str,m/s
0,0,0,-0.334078,4.71058e-07,0,-36.69,0,1678,1485,1.86071
1.26,-0.0355571,-0.220971,-0.280319,-0.0398012,0,-36.31,0,1722,1482,1.29296
1.628,0.347483,-0.489378,0.107488,-0.319376,0,-35.25,0,1722,1505,4
1.849,0.725813,-0.754194,0.487182,-0.585862,0,-35.12,0,1722,1490,4
2.048,1.10175,-1.01423,0.862154,-0.847561,0,-34.69,0,1722,1496,4
2.248,1.50373,-1.28556,1.26623,-1.12461,0,-34.06,0,1722,1497,4
2.448,1.91856,-1.5603,1.6795,-1.40204,0,-33.56,0,1722,1501,4
2.628,2.29939,-1.82546,2.06788,-1.66515,0,-34.69,0,1722,1510,4
2.808,2.68608,-2.09516,2.45548,-1.93404,0,-35.19,0,1722,1516,4
2.978,3.05286,-2.36302,2.82576,-2.19688,0,-36.31,0,1722,1536,4
3.158,3.42459,-2.65884,3.18381,-2.46943,0,-38.19,0,1722,1526,4
3.328,3.78575,-2.95959,3.57127,-2.78159,0,-39.69,0,1723,1516,4
3.498,4.13947,-3.26724,3.92633,-3.08366,0,-40.94,0,1722,1513,4
3.678,4.50711,-3.59813,4.29949,-3.41087,0,-42,0,1722,1492,4
3.858,4.87688,-3.92956,4.6683,-3.74334,0,-41.69,0,1724,1492,4
4.018,5.20948,-4.22483,5.00037,-4.03934,0,-41.44,0,1724,1494,4
4.178,5.55128,-4.52074,5.33865,-4.3355,0,-41.06,0,1755,1494,4
4.338,5.90841,-4.82432,5.69734,-4.64529,0,-40.38,0,1752,1504,4
4.498,6.29438,-5.14126,6.08158,-4.96509,0,-39.69,0,1748,1516,4
4.658,6.67803,-5.45662,6.44553,-5.26496,0,-39.56,0,1748,1516,4
4.808,7.04873,-5.76572,6.81581,-5.57069,0,-39.94,0,1750,1520,4
4.958,7.42708,-6.08227,7.19609,-5.88886,0,-39.88,0,1748,1522,4
5.108,7.80526,-6.40432,7.57577,-6.20915,0,-40.38,0,1749,1522,4
5.248,8.1642,-6.71575,7.9366,-6.51831,0,-41.12,0,1750,1526,4
5.388,8.52171,-7.03284,8.29746,-6.83528,0,-41.56,0,1752,1532,4
5.528,8.88143,-7.35988,8.65789,-7.15776,0,-42.25,0,1751,1530,4
5.669,9.23508,-7.69686,9.01424,-7.48816,0,-43.44,0,1749,1528,4
5.808,9.58928,-8.04886,9.37654,-7.83893,0,-44.94,0,1754,1516,4
5.948,9.93522,-8.40616,9.72621,-8.19206,0,-45.94,0,1754,1502,4
6.078,10.2631,-8.7453,10.0528,-8.52898,0,-45.94,0,1750,1502,4
6.209,10.5947,-9.08122,10.3817,-8.86736,0,-45.44,0,1512,1495,4
6.349,10.9442,-9.43647,10.7328,-9.22092,0,-45.31,0,1492,1492,4
6.488,11.2682,-9.75418,11.0533,-9.54214,0,-44.69,0,1490,1494,4
6.638,11.6163,-10.0886,11.399,-9.8792,0,-43.94,0,1491,1494,4
6.799,11.9752,-10.4315,11.7737,-10.2378,0,-43.75,0,1490,1495,4
6.969,12.316,-10.753,12.1097,-10.5572,0,-43.31,0,1490,1495,4
7.149,12.658,-11.0741,12.4512,-10.8786,0,-43.12,0,1489,1488,3.74179
7.349,13.0169,-11.3898,12.7978,-11.1967,0,-40.94,0,1490,1367,3.1901
7.528,13.3512,-11.6049,13.1145,-11.441,0,-33.62,0,1490,1342,2.64515
7.688,13.6492,-11.7266,13.3846,-11.5949,0,-25.25,0,1490,1294,2.3069
7.849,13.9345,-11.7757,13.6419,-11.6902,0,-14.88,0,1494,1216,1.80591
7.97,14.1378,-11.7594,13.8491,-11.7218,0,-4.19,0,1496,1172,1.76957
8.12,14.3598,-11.6691,14.0682,-11.7073,0,-348.94,0,1542,1128,1.69858
8.278,14.5332,-11.523,14.2514,-11.6485,0,-333.44,0,1504,1058,1.45191
8.41,14.6251,-11.362,14.3929,-11.5516,0,-317.12,0,1490,1026,1.64665
8.56,14.6694,-11.1667,14.4986,-11.4237,0,-300.19,0,1504,1026,1.50392
8.71,14.6494,-10.9809,14.5636,-11.2756,0,-282.62,0,1586,1026,1.49305
8.86,14.5764,-10.8196,14.5779,-11.1284,0,-265.94,0,1648,1029,1.56236
9.038,14.4364,-10.6719,14.5407,-10.9592,0,-247.06,0,1588,1030,1.6387
9.238,14.2581,-10.5725,14.4513,-10.8116,0,-228.31,0,1646,1036,1.62218
9.46,14.0469,-10.5337,14.3086,-10.6978,0,-208.44,0,1648,1080,1.76193
9.72,13.7967,-10.57,14.0969,-10.6287,0,-188,0,1671,1194,2.7084
10.049,13.434,-10.7044,13.7281,-10.6493,0,-167.5,0,1675,1357,2.97837
10.378,13.0098,-10.8938,13.2961,-10.7884,0,-159.88,0,1668,1606,2.2703
10.599,12.719,-10.959,13.0118,-10.8792,0,-165.94,0,1518,1757,1.66443
10.778,12.5111,-10.9423,12.8165,-10.9118,0,-176.38,0,1528,1780,2.35579
11.198,12.1061,-10.7724,12.4,-10.8551,0,-196.62,0,1604,1624,3.39747
11.588,11.7318,-10.5721,12.0022,-10.699,0,-206.12,0,1640,1651,2.85422
11.918,11.4285,-10.3251,11.6723,-10.4995,0,-216.5,0,1658,1567,4
12.268,11.0773,-10.0169,11.3117,-10.211,0,-219.5,0,1686,1489,4
12.558,10.6938,-9.70274,10.9232,-9.89107,0,-219.25,0,1714,1495,4
12.798,10.3055,-9.39188,10.5333,-9.57437,0,-218.56,0,1714,1493,4
13.018,9.92137,-9.0917,10.149,-9.26997,0,-217.94,0,1714,1510,4
13.218,9.54873,-8.80598,9.77791,-8.98179,0,-217.69,0,1714,1531,4
13.418,9.17707,-8.50948,9.40089,-8.68793,0,-218.44,0,1714,1527,4
13.618,8.79747,-8.20275,9.0205,-8.38213,0,-218.81,0,1714,1525,4
13.818,8.41535,-7.8878,8.63702,-8.06931,0,-219.38,0,1714,1506,4
14.018,8.02964,-7.57042,8.24982,-7.75076,0,-219.25,0,1714,1489,4
14.198,7.67737,-7.28608,7.90031,-7.46705,0,-218.88,0,1714,1488,4
14.378,7.31577,-7.00402,7.53948,-7.18008,0,-218.06,0,1714,1487,4
14.558,6.94742,-6.72519,7.17364,-6.8981,0,-217.25,0,1713,1487,4
14.738,6.57014,-6.44879,6.79702,-6.61637,0,-216.31,0,1714,1492,4
14.918,6.1856,-6.17247,6.41421,-6.33745,0,-215.62,0,1714,1498,4
15.098,5.79218,-5.89849,6.0228,-6.0604,0,-214.94,0,1714,1500,4
15.268,5.41522,-5.6409,5.64902,-5.80155,0,-214.62,0,1714,1528,4
15.448,5.02055,-5.36557,5.27182,-5.5411,0,-214.88,0,1715,1540,4
15.619,4.64109,-5.09061,4.87346,-5.25818,0,-216.12,0,1715,1540,4
15.798,4.25486,-4.79623,4.49926,-4.98119,0,-217.25,0,1714,1540,4
15.979,3.86861,-4.47933,4.08905,-4.65813,0,-219.31,0,1714,1510,4
16.148,3.51134,-4.17727,3.74233,-4.3711,0,-220.06,0,1715,1506,4
16.319,3.14555,-3.86675,3.36276,-4.05066,0,-220.25,0,1714,1490,4
16.498,2.76059,-3.54887,2.99497,-3.74292,0,-219.56,0,1714,1496,4
16.669,2.38272,-3.24531,2.60355,-3.42454,0,-218.94,0,1716,1496,4
16.83,2.02885,-2.96436,2.24907,-3.14039,0,-218.38,0,1714,1495,4
16.998,1.64895,-2.67048,1.88891,-2.85758,0,-217.88,0,1714,1496,4
17.16,1.28079,-2.3921,1.5036,-2.56089,0,-216.94,0,1688,1494,3.53097
17.33,0.897524,-2.11075,1.13045,-2.28273,0,-216.56,0,1490,1490,2.9435
17.53,0.49298,-1.82215,0.736595,-1.99635,0,-215.44,0,1315,1488,2.16534
18.03,0.0809429,-1.55748,0.335898,-1.72385,0,-213.06,0,1490,1486,0.878026
18.11,0.0537955,-1.54029,0.308929,-1.70639,0,-213,0,1489,1485,0.716866
18.21,0.0266266,-1.52316,0.281926,-1.689,0,-212.88,0,1490,1486,0.506913
18.33,-0.000617597,-1.50615,0.255032,-1.67144,0,-212.75,0,1490,1486,0
